,be,bg,ca,cs,en,es,pl,ru,sl,tr,uk,gender
562,Айвар Джаевер,Ивар Йевер,Ivar Giaever,Ivar Giaever,Ivar Giaever,Ivar Giaever,Ivar Giaever,Айвар Джайевер,Ivar Giaever,Ivar Giaever,Айвар Джайєвер,m
563,Эбэ Камаргу,Ебе Камарго,Hebe Camargo,Hebe Camargová,Hebe Camargo,Hebe Camargo,Hebe Camargo,Эбе Камарго,Hebe Camargo,Hebe Camargo,Ебі Камаргу,f
564,Грэйс Келі,Грейс Кели,Grace Kelly,Grace Kellyová,Grace Kelly,Grace Kelly,Grace Kelly,Грейс Келли,Grace Kelly,Grace Kelly,Грейс Келлі,f
565,Жаклін Кенэдзі,Жаклин Кенеди Онасис,Jacqueline Kennedy Onassis,Jacqueline Kennedyová Onassisová,Jacqueline Kennedy Onassis,Jacqueline Kennedy Onassis,Jacqueline Kennedy Onasis,Жаклин Кеннеди,Jacqueline Kennedy Onassis,Jacqueline Kennedy Onassis,Жаклін Кеннеді,f
566,Імрэ Кертэс,Имре Кертес,Imre Kertész,Imre Kertész,Imre Kertész,Imre Kertész,Imre Kertész,Имре Кертес,Imre Kertész,Imre Kertész,Імре Кертес,m
567,Мілан Кундзера,Милан Кундера,Milan Kundera,Milan Kundera,Milan Kundera,Milan Kundera,Milan Kundera,Милан Кундера,Milan Kundera,Milan Kundera,Мілан Кундера,m
568,Эрык Кэндэл,Ерик Кандел,Eric Richard Kandel,Eric Kandel,Eric Kandel,Eric Kandel,Eric Kandel,Эрик Кандел,Eric Kandel,Eric Kandel,Ерік Кендел,m
569,Урсула Кробер Ле Гуін,Урсула Ле Гуин,Ursula K. Le Guin,Ursula K. Le Guinová,Ursula K. Le Guin,Ursula K. Le Guin,Ursula K. Le Guin,Урсула Ле Гуин,Ursula Kroeber Le Guin,Ursula K. Le Guin,Урсула Ле Гуїн,f
570,Серджа Леонэ,Серджо Леоне,Sergio Leone,Sergio Leone,Sergio Leone,Sergio Leone,Sergio Leone,Серджо Леоне,Sergio Leone,Sergio Leone,Серджо Леоне,m
571,Марцін Лютэр Кінг,Мартин Лутър Кинг,Martin Luther King,Martin Luther King,Martin Luther King Jr.,Martin Luther King,Martin Luther King,Мартин Лютер Кинг,Martin Luther King mlajši,Martin Luther King,Мартін Лютер Кінг,m
572,Ленарт-Георг Меры,Ленарт Мери,Lennart Meri,Lennart Meri,Lennart Meri,Lennart Meri,Lennart Meri,Леннарт Мери,Lennart Meri,Lennart Meri,Леннарт Мері,m
573,Рудольф Людвіг Мёсбаўэр,Рудолф Мьосбауер,Rudolf Mößbauer,Rudolf Ludwig Mössbauer,Rudolf Mössbauer,Rudolf Ludwig Mößbauer,Rudolf Mößbauer,Рудольф Людвиг Мёссбауэр,Rudolf Ludwig Mössbauer,Rudolf Mössbauer,Рудольф Людвіг Мессбауер,m
574,Міларад Павіч,Милорад Павич,Milorad Pavić,Milorad Pavić,Milorad Pavić,Milorad Pavić,Milorad Pavić,Милорад Павич,Milorad Pavić,Milorad Pavić,Милорад Павич,m
575,Тыгран Петрасян,Тигран Петросян,Tigran Petrossian,Tigran Petrosjan,Tigran Petrosian,Tigrán Petrosián,Tigran Petrosjan,Тигран Петросян,Tigran Petrosjan,Tigran Petrosyan,Тигран Петросян,m
576,Джын Сіманс,Джийн Симънс,Jean Simmons,Jean Simmonsová,Jean Simmons,Jean Simmons,Jean Simmons,Джин,Jean Simmons,Jean Simmons,Джин Сіммонс,f
577,Стырлінг Мос,Стърлинг Мос,Stirling Moss,Stirling Moss,Stirling Moss,Stirling Moss,Stirling Moss,Стирлинг Мосс,Stirling Moss,Stirling Moss,Стірлінг Мосс,m
578,Рычард Эдвард Тэйлар,Ричард Тейлър,Richard Edward Taylor,Richard Edward Taylor,Richard E. Taylor,Richard Edward Taylor,Richard E. Taylor,Ричард Эдвард Тейлор,Richard Edward Taylor,Richard Taylor,Річард Тейлор,m
579,Ганна Франк,Ане Франк,Anne Frank,Anne Franková,Anne Frank,Ana Frank,Anne Frank,Анна Франк,Ana Frank,Anne Frank,Анна Франк,f
580,Юрген Хабермас,Юрген Хабермас,Jürgen Habermas,Jürgen Habermas,Jürgen Habermas,Jürgen Habermas,Jürgen Habermas,Юрген Хабермас,Jürgen Habermas,Jürgen Habermas,Юрґен Габермас,m
581,Одры Хепбёрн,Одри Хепбърн,Audrey Hepburn,Audrey Hepburnová,Audrey Hepburn,Audrey Hepburn,Audrey Hepburn,Одри Хепбёрн,Audrey Hepburn,Audrey Hepburn,Одрі Гепберн,f
582,Пітэр Хігс,Питър Хигс,Peter Higgs,Peter Higgs,Peter Higgs,Peter Higgs,Peter Higgs,Питер Хиггс,Peter Ware Higgs,Peter Higgs,Пітер Хіггс,m
583,Грэм Хіл,Греъм Хил,Graham Hill,Graham Hill,Graham Hill,Graham Hill,Graham Hill,Грэм Хилл,Graham Hill,Graham Hill,Грем Гілл,m
584,Майк Хотарн,Майк Хоторн,Mike Hawthorn,Mike Hawthorn,Mike Hawthorn,Mike Hawthorn,Mike Hawthorn,Майк Хоторн,Mike Hawthorn,Mike Hawthorn,Майк Хоторн,m
585,Джэралд Морыс Эдэльмэн,Джералд Еделман,Gerald Edelman,Gerald Edelman,Gerald Edelman,Gerald M. Edelman,Gerald Edelman,Джералд Эдельман,Gerald Edelman,Gerald Edelman,Джеральд Едельман,m
586,Міхаэль Эндэ,Михаел Енде,Michael Ende,Michael Ende,Michael Ende,Michael Ende,Michael Ende,Михаэль Энде,Michael Ende,Michael Ende,Міхаель Енде,m
587,Жарэс Алфёраў,Жорес Алфьоров,Jorès Ivànovitx Alfiórov,Žores Ivanovič Alfjorov,Zhores Alferov,Zhores Ivánovich Alferov,Żores Ałfiorow,Жорес Алфёров,Žores Ivanovič Alfjorov,Jores Alfyorov,Жорес Алфьоров,m
588,Ніл Армстранг,Нийл Армстронг,Neil Armstrong,Neil Armstrong,Neil Armstrong,Neil Armstrong,Neil Armstrong,Нил Армстронг,Neil Armstrong,Neil Armstrong,Ніл Армстронг,m
589,Хафез Асад,Хафез Асад,Hafez al-Àssad,Háfiz al-Asad,Hafez al-Assad,Háfez al-Ásad,Hafiz al-Asad,Хафез Асад,Hafez al Asad,Hafız Esad,Хафез аль-Асад,m
590,Чынуа Ачэбэ,Чинуа Ачебе,Chinua Achebe,Chinua Achebe,Chinua Achebe,Chinua Achebe,Chinua Achebe,Чинуа Ачебе,Chinua Achebe,Chinua Achebe,Чинуа Ачебе,m
591,Бадуэн I,Бодуен,Balduí de Bèlgica,Baudouin I. Belgický,Baudouin of Belgium,Balduino de Bélgica,Baldwin I Koburg,Бодуэн,Baudouin I. Belgijski,Baudouin,Бодуен I,m
592,Гэры Бекер,Гери Бекър,Gary Becker,Gary Stanley Becker,Gary Becker,Gary Becker,Gary Becker,Гэри Беккер,Gary Becker,Gary Becker,Гері Беккер,m
593,П’ер Бурдзьё,Пиер Бурдийо,Pierre Bourdieu,Pierre Bourdieu,Pierre Bourdieu,Pierre Bourdieu,Pierre Bourdieu,Пьер Бурдьё,Pierre Bourdieu,Pierre Bourdieu,П'єр Бурдьє,m
594,Джаан Вудвард,Джоан Удуърд,Joanne Woodward,Joanne Woodwardová,Joanne Woodward,Joanne Woodward,Joanne Woodward,Джоан Вудворд,Joanne Woodward,Joanne Woodward,Джоан Вудворд,f
595,Жан-Люк Гадар,Жан-Люк Годар,Jean-Luc Godard,Jean-Luc Godard,Jean-Luc Godard,Jean-Luc Godard,Jean-Luc Godard,Жан-Люк Годар,Jean-Luc Godard,Jean-Luc Godard,Жан-Люк Годар,m
596,Жак Дэрыда,Жак Дерида,Jacques Derrida,Jacques Derrida,Jacques Derrida,Jacques Derrida,Jacques Derrida,Жак Деррида,Jacques Derrida,Jacques Derrida,Жак Дерріда,m
597,Райнхард Зелтэн,Райнхард Зелтен,Reinhard Selten,Reinhard Selten,Reinhard Selten,Reinhard Selten,Reinhard Selten,Рейнхард Зельтен,Reinhard Selten,Reinhard Selten,Райнгард Зелтен,m
598,Іон Іліеску,Йон Илиеску,Ion Iliescu,Ion Iliescu,Ion Iliescu,Ion Iliescu,Ion Iliescu,Ион Илиеску,Ion Iliescu,Ion Iliescu,Йон Ілієску,m
599,Клінт Іствуд,Клинт Истууд,Clint Eastwood,Clint Eastwood,Clint Eastwood,Clint Eastwood,Clint Eastwood,Клинт Иствуд,Clint Eastwood,Clint Eastwood,Клінт Іствуд,m
600,Тадао Кобаясі,Тадао Кобаяши,Tadao Kobayashi,Tadao Kobajaši,Tadao Kobayashi,Tadao Kobayashi,Tadao Kobayashi,Тадао Кобаяси,Tadao Kobajaši,Tadao Kobayashi,Кобаясі Тадао,m
601,Майкл Колінз,Майкъл Колинс,Michael Collins,Michael Collins,Michael Collins,Michael Collins,Michael Collins,Майкл,Michael Collins,Michael Collins,Майкл Коллінз,m
602,Гельмут Коль,Хелмут Кол,Helmut Kohl,Helmut Kohl,Helmut Kohl,Helmut Kohl,Helmut Kohl,Гельмут Коль,Helmut Kohl,Helmut Kohl,Гельмут Коль,m
603,Шон Конэры,Шон Конъри,Sean Connery,Sean Connery,Sean Connery,Sean Connery,Sean Connery,Шон Коннери,Sean Connery,Sean Connery,Шон Коннері,m
604,Леон Нейл Купер,Лион Купър,Leon Cooper,Leon Cooper,Leon Cooper,Leon N. Cooper,Leon Cooper,Леон Купер,Leon Neil Cooper,Leon Cooper,Леон Купер,m
605,Уільям Кэмпбэл,Уилям Кемпбъл,William C. Campbell,William C. Campbell,William C. Campbell,William C. Campbell,William C. Campbell,Уильям Кэмпбелл,William C. Campbell,William C. Campbell,Вільям Кемпбелл,m
606,Мабуту Сесе Секо,Мобуту Сесе Секо,Mobutu Sese Seko,Mobutu Sese Seko,Mobutu Sese Seko,Mobutu Sese Seko,Mobutu Sese Seko,Мобуту Сесе Секо,Mobutu Sese Seko,Mobutu Sese Seko,Мобуту Сесе Секо,m
607,Славамір Мрожак,Славомир Мрожек,Sławomir Mrożek,Sławomir Mrożek,Sławomir Mrożek,Sławomir Mrożek,Sławomir Mrożek,Славомир Мрожек,Sławomir Mrożek,Sławomir Mrożek,Славомир Мрожек,m
608,Кэн Наганума,Кен Наганума,Ken Naganuma,Ken Naganuma,Ken Naganuma,Ken Naganuma,Ken Naganuma,Кэн Наганума,Ken Naganuma,Ken Naganuma,Наганума Кен,m
609,Баз Олдрын,Едуин Олдрин,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,Базз Олдрин,Edwin Aldrin,Buzz Aldrin,Базз Олдрін,m
610,Гаральд Пінтэр,Харолд Пинтър,Harold Pinter,Harold Pinter,Harold Pinter,Harold Pinter,Harold Pinter,Гарольд Пинтер,Harold Pinter,Harold Pinter,Гарольд Пінтер,m
611,Джордж Элвуд Сміт,Джордж Смит,George E. Smith,George Elwood Smith,George E. Smith,George E. Smith,George E. Smith,Джордж Элвуд Смит,George Elwood Smith,George Smith,Джордж Сміт,m
612,Джордж Сорас,Джордж Сорос,George Soros,George Soros,George Soros,George Soros,George Soros,Джордж Сорос,George Soros,George Soros,Джордж Сорос,m
613,Ту Юю,Ту Йоуйоу,Tu Youyou,Tchu Jou-jou,Tu Youyou,Tu Youyou,Tu Youyou,Ту Юю,Tu Joujou,Tu Youyou,Ту Юю,f
614,Эдвард Хігінс Уайт,Едуард Уайт,Edward Higgins White II,Edward Higgins White,Ed White,Edward Higgins White II,Edward Higgins White,Эдвард Хиггинс Уайт,Edward Higgins White II.,Edward Higgins White,Едвард Гіґґінс Вайт,m
615,Вігдзіс Фінбагадоцір,Вигдис Финпогадоухтир,Vigdís Finnbogadóttir,Vigdís Finnbogadóttir,Vigdís Finnbogadóttir,Vigdís Finnbogadóttir,Vigdís Finnbogadóttir,Вигдис Финнбогадоуттир,Vigdís Finnbogadóttir,Vigdís Finnbogadóttir,Віґдіс Фіннбоґадоуттір,f
616,Джэром Айзек Фрыдман,Джеръм Фридман,Jerome Isaac Friedman,Jerome Isaac Friedman,Jerome Isaac Friedman,Jerome Isaac Friedman,Jerome I. Friedman,Джером Айзек Фридман,Jerome Isaac Friedman,Jerome Friedman,Джером Фрідман,m
617,Рычард Харыс,Ричард Харис,Richard Harris,Richard Harris,Richard Harris,Richard Harris,Richard Harris,Ричард Харрис,Richard Harris,Richard Harris,Річард Гарріс,m
618,Джын Хэкмен,Джийн Хекман,Gene Hackman,Gene Hackman,Gene Hackman,Gene Hackman,Gene Hackman,Джин Хэкмен,Gene Hackman,Gene Hackman,Джин Гекмен,m
619,Рэй Чарлз,Рей Чарлс,Ray Charles,Ray Charles,Ray Charles,Ray Charles,Ray Charles,Рэй Чарльз,Ray Charles,Ray Charles,Рей Чарльз,m
620,Максіміліян Шэл,Максимилиан Шел,Maximilian Schell,Maximilian Schell,Maximilian Schell,Maximilian Schell,Maximilian Schell,Максимилиан Шелл,Maximilian Schell,Maximilian Schell,Максиміліан Шелл,m
621,Сюніціро Акано,Шуничиро Окано,Shunichiro Okano,Šuničiró Okano,Shunichiro Okano,Shunichiro Okano,Shun’ichirō Okano,Сюнъитиро Окано,Šuničiro Okano,Shunichiro Okano,Окано Сюнітіро,m
622,Марцінус Велтман,Мартинус Велтман,Martinus J.G. Veltman,Martinus J. G. Veltman,Martinus J. G. Veltman,Martinus J. G. Veltman,Martinus J.G. Veltman,Мартинус Велтман,Martinus Justinus Godefriedus Veltman,Martinus Veltman,Мартінус Велтман,m
623,Міхаіл Гарбачоў,Михаил Горбачов,Mikhaïl Gorbatxov,Michail Gorbačov,Mikhail Gorbachev,Mijaíl Gorbachov,Michaił Gorbaczow,Михаил Горбачёв,Mihail Gorbačov,Mihail Gorbaçov,Михайло Горбачов,m
624,Рыкарда Джаконі,Рикардо Джакони,Riccardo Giacconi,Riccardo Giacconi,Riccardo Giacconi,Riccardo Giacconi,Riccardo Giacconi,Риккардо Джаккони,Riccardo Giacconi,Riccardo Giacconi,Ріккардо Джакконі,m
625,Роберт Дзюваль,Робърт Дювал,Robert Duvall,Robert Duvall,Robert Duvall,Robert Duvall,Robert Duvall,Роберт Дюваль,Robert Duvall,Robert Duvall,Роберт Дюваль,m
626,Барыс Ельцын,Борис Елцин,Borís Eltsin,Boris Jelcin,Boris Yeltsin,Borís Yeltsin,Borys Jelcyn,Борис Ельцин,Boris Jelcin,Boris Yeltsin,Борис Єльцин,m
627,Рауль Кастра,Раул Кастро,Raúl Castro Ruz,Raúl Castro,Raúl Castro,Raúl Castro,Raúl Castro,Рауль Кастро,Raúl Castro,Raúl Castro,Рауль Кастро,m
628,Мваі Кібакі,Мваи Кибаки,Mwai Kibaki,Mwai Kibaki,Mwai Kibaki,Mwai Kibaki,Mwai Kibaki,Мваи Кибаки,Mwai Kibaki,Mwai Kibaki,Мваї Кібакі,f
629,Джэймс Уотсан Кронін,Джеймс Кронин,James Cronin,James Watson Cronin,James Cronin,James Cronin,James Cronin,Джеймс Уотсон Кронин,James Watson Cronin,James Cronin,Джеймс Вотсон Кронін,m
630,Дэвід Морыс Лі,Дейвид Лий,David Morris Lee,David Morris Lee,David Lee,David Morris Lee,David M. Lee,Дейвид Моррис Ли,David Morris Lee,David Lee,Девід Лі,m
631,Эліс Манро,Алис Мънро,Alice Munro,Alice Munroová,Alice Munro,Alice Munro,Alice Munro,Элис Манро,Alice Munro,Alice Munro,Еліс Манро,f
632,Ёсеф Масапуст,Йозеф Масопуст,Josef Masopust,Josef Masopust,Josef Masopust,Josef Masopust,Josef Masopust,Йозеф Масопуст,Josef Masopust,Josef Masopust,Йозеф Масопуст,m
633,Какуіці Мімура,Какуичи Мимура,Kakuichi Mimura,Kakuiči Mimura,Kakuichi Mimura,Kakuichi Mimura,Kakuichi Mimura,Какуити Мимура,Kakuiči Mimura,Kakuichi Mimura,Мімура Какуїті,m
634,Роджэр Пенроўз,Роджър Пенроуз,Roger Penrose,Roger Penrose,Roger Penrose,Roger Penrose,Roger Penrose,Роджер Пенроуз,Roger Penrose,Roger Penrose,Роджер Пенроуз,m
635,Адольфа Перэс Эсківель,Адолфо Перес Ескивел,Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,Адольфо Перес Эскивель,Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,Адольфо Перес Есківель,m
636,Бертан Рыхтэр,Бъртън Рихтер,Burton Richter,Burton Richter,Burton Richter,Burton Richter,Burton Richter,Бертон Рихтер,Burton Richter,Burton Richter,Бертон Ріхтер,m
637,Такасі Такабаясі,Такаши Такабаяши,Takashi Takabayashi,Takaši Takabajaši,Takashi Takabayashi,Takashi Takabayashi,Takashi Takabayashi,Такаси Такабаяси,Takaši Takabajaši,Takashi Takabayashi,Такабаясі Такасі,m
638,Тумас Транстромер,Тумас Транстрьомер,Tomas Tranströmer,Tomas Tranströmer,Tomas Tranströmer,Tomas Tranströmer,Tomas Tranströmer,Тумас Транстрёмер,Tomas Tranströmer,Tomas Tranströmer,Томас Транстремер,m
639,Дэсманд Туту,Дезмънд Туту,Desmond Tutu,Desmond Tutu,Desmond Tutu,Desmond Tutu,Desmond Tutu,Десмонд Туту,Desmond Tutu,Desmond Tutu,Десмонд Туту,m
640,Рудзо Хіракі,Рюзо Хираки,Ryuzo Hiraki,Rjúzó Hiraki,Ryuzo Hiraki,Ryuzo Hiraki,Ryūzō Hiraki,Рюдзо Хираки,Rjuzo Hiraki,Ryuzo Hiraki,Хіракі Рюдзо,m
